position_mm,potential_mv_at_reference_drive
9.211703310000039835e+01,1.262966637868014175e+01
9.214190000000040470e+01,1.259729584430815841e+01
9.214390000000040004e+01,1.259469234050415309e+01
9.214590000000039538e+01,1.259208883670014956e+01
9.217076690000040173e+01,1.255971830232816444e+01
9.227928650000039568e+01,1.241231520327539606e+01
9.244959190000039939e+01,1.217371023016658604e+01
9.261989730000040311e+01,1.192461917142476224e+01
9.279020270000039261e+01,1.166482777654590386e+01
9.296050810000039633e+01,1.139840599269352772e+01
9.313081350000038583e+01,1.112628657713068314e+01
9.323933310000039398e+01,1.095031764157727672e+01
9.326420000000038613e+01,1.090936832518280752e+01
9.326620000000039568e+01,1.090607484538478822e+01
9.326820000000039101e+01,1.090278136558679201e+01
9.329306690000039737e+01,1.086183204919229794e+01
9.340158650000039131e+01,1.068307182483419560e+01
9.357189190000039503e+01,1.039653987946598868e+01
9.374219730000038453e+01,1.010366250606663030e+01
9.391250270000038824e+01,9.808787243289037505e+00
9.408280810000037775e+01,9.512982608649515726e+00
9.425311350000038146e+01,9.216248602091239306e+00
9.436163310000037541e+01,9.026674382832396759e+00
9.438650000000038176e+01,8.983234090453056098e+00
9.438850000000037710e+01,8.979740265941016375e+00
9.439050000000037244e+01,8.976246441428974876e+00
9.441536690000037879e+01,8.932704580994437649e+00
9.452388650000037273e+01,8.742413097699103020e+00
9.469419190000037645e+01,8.443244820645471549e+00
9.486449730000038016e+01,8.145111368088636894e+00
9.503480270000036967e+01,7.849145849236076167e+00
9.520510810000037338e+01,7.552220152530152220e+00
9.537541350000036289e+01,7.254166386234868646e+00
9.548393310000037104e+01,7.063837916694753361e+00
9.550880000000036318e+01,7.020197480324143591e+00
9.551080000000037273e+01,7.016687558591170770e+00
9.551280000000036807e+01,7.013177636858222819e+00
9.553766690000037443e+01,6.969537200487588180e+00
9.564618650000036837e+01,6.780789621074721829e+00
9.581649190000035787e+01,6.488431760101254220e+00
9.598679730000036159e+01,6.198430788083325815e+00
9.615710270000036530e+01,5.910429678061274394e+00
9.632740810000035481e+01,5.624221539452912921e+00
9.649771350000035852e+01,5.340077181639186321e+00
9.660623310000035247e+01,5.159844041915404134e+00
9.663110000000035882e+01,5.118947849101425973e+00
9.663310000000035416e+01,5.115658641937375073e+00
9.663510000000034950e+01,5.112369434773323285e+00
9.665996690000035585e+01,5.071473241959346012e+00
9.676848650000034979e+01,4.893001519078955752e+00
9.693879190000035351e+01,4.615306703504453267e+00
9.710909730000035722e+01,4.340033265451183730e+00
9.727940270000034673e+01,4.068228893970942117e+00
9.744970810000035044e+01,3.799998325217182060e+00
9.762001350000033995e+01,3.534014876798417859e+00
9.772853310000034810e+01,3.365889625661893092e+00
9.775340000000034024e+01,3.327364291920475114e+00
9.775540000000034979e+01,3.324265768683432043e+00
9.775740000000034513e+01,3.321167245446410732e+00
9.778226690000033727e+01,3.282641911704992310e+00
9.789078650000034543e+01,3.121781666980370851e+00
9.806109190000033493e+01,2.869607307439637545e+00
9.823139730000033865e+01,2.612911481179053474e+00
9.840170270000034236e+01,2.351727115974772797e+00
9.857200810000033186e+01,2.095727200927916201e+00
9.874231350000033558e+01,1.840999881156804685e+00
9.885083310000032952e+01,1.679300196583590754e+00
9.887570000000033588e+01,1.642365463644554824e+00
9.887770000000033122e+01,1.639394869566568547e+00
9.887970000000032655e+01,1.636424275488582047e+00
9.890456690000033291e+01,1.599489542549546339e+00
9.901308650000032685e+01,1.438422724057387914e+00
9.918339190000033057e+01,1.186991522147800904e+00
9.935369730000033428e+01,9.369347117009338977e-01
9.952400270000032378e+01,6.881352706530926566e-01
9.969430810000032750e+01,4.405931989628672496e-01
9.986461350000031700e+01,1.942076313143998312e-01
9.997313310000032516e+01,3.770640346855350100e-02
9.999800000000031730e+01,1.844675423865238528e-03
1.000000000000003268e+02,-1.039618802186336203e-03
1.000020000000003222e+02,-3.938729146183013799e-03
1.000268669000003143e+02,-3.998467265282111549e-02
1.001353865000003225e+02,-1.972898200963904281e-01
