position_mm,potential_mv_at_reference_drive
6.507331350000077919e+01,3.813594668191365944e+00
6.518183310000078734e+01,3.818228585278783616e+00
6.520670000000079369e+01,3.819300666699902091e+00
6.520870000000078903e+01,3.819389124311910244e+00
6.521070000000079858e+01,3.819477581923919285e+00
6.523556690000079072e+01,3.820577415219947426e+00
6.534408650000079888e+01,3.825377107556011680e+00
6.551439190000078838e+01,3.833084257805558170e+00
6.568469730000077789e+01,3.841006206000350254e+00
6.585500270000078160e+01,3.849142952195588219e+00
6.602530810000078532e+01,3.857494496405634354e+00
6.619561350000077482e+01,3.866067539359456351e+00
6.630413310000076876e+01,3.871689407027206542e+00
6.632900000000077512e+01,3.872979174501236521e+00
6.633100000000078467e+01,3.873082908177250427e+00
6.633300000000078001e+01,3.873186641853263890e+00
6.635786690000077215e+01,3.874476409327292981e+00
6.646638650000078030e+01,3.880206390289016039e+00
6.663669190000078402e+01,3.889355803301806080e+00
6.680699730000077352e+01,3.898720014289388303e+00
6.697730270000076302e+01,3.908333695789705242e+00
6.714760810000076674e+01,3.918172864307516434e+00
6.731791350000077045e+01,3.928226830846921924e+00
6.742643310000076440e+01,3.934724654954195877e+00
6.745130000000077075e+01,3.936242343443947966e+00
6.745330000000076609e+01,3.936364408396937353e+00
6.745530000000076143e+01,3.936486473349926740e+00
6.748016690000076778e+01,3.938004161839678829e+00
6.758868650000076173e+01,3.944627381775916319e+00
6.775899190000076544e+01,3.955264419240724916e+00
6.792929730000076916e+01,3.966116254617298775e+00
6.809960270000075866e+01,3.977182887943522260e+00
6.826990810000076237e+01,3.988464319242277067e+00
6.844021350000075188e+01,3.999960548514644554e+00
6.854873310000076003e+01,4.007412644682549541e+00
6.857360000000075217e+01,4.009120267362670020e+00
6.857560000000074751e+01,4.009257608380659477e+00
6.857760000000075706e+01,4.009394949398649821e+00
6.860246690000076342e+01,4.011106340529985381e+00
6.871098650000075736e+01,4.018724211888704545e+00
6.888129190000074686e+01,4.030803512017147483e+00
6.905159730000075058e+01,4.043097610139244402e+00
6.922190270000075429e+01,4.055606506186677507e+00
6.939220810000074380e+01,4.068342103229672269e+00
6.956251350000074751e+01,4.081325956874234606e+00
