"Distance [mm]","Voltage [V]"
52.8,50.0197803275532
53,50.0198314755856
53.2,50.0198838329911
53.4,50.0199373997699
53.6,50.0199921759218
53.8,50.0200485819081
54,50.0201080145413
54.2,50.0201679683386
54.4,50.0202284433002
54.6,50.0202894394259
54.8,50.0203509567156
55,50.0204129951697
55.2,50.0204755547878
55.4,50.0205386355701
55.6,50.0206022375166
55.8,50.0206663606273
56,50.0207310049021
56.2,50.0207961703411
56.4,50.0208618569442
56.6,50.0209280647115
56.8,50.020994793643
57,50.0210622839141
57.2,50.02113021776
57.4,50.0211985662262
57.6,50.0212673293127
57.8,50.0213365070197
58,50.0214060993469
58.2,50.0214761062945
58.4,50.0215465278624
58.6,50.0216173640506
58.8,50.0216886148593
59,50.0217602802882
59.2,50.0218323603375
59.4,50.0219048550071
59.6,50.0219777642971
59.8,50.0220510882074
60,50.0221248267381
60.2,50.022198979889
60.4,50.0222735476604
60.6,50.022348530052
60.8,50.0224239270641
61,50.0224997386965
61.2,50.0225759639517
61.4,50.0226520956321
61.6,50.0227283412689
61.8,50.0228047008622
62,50.0228811744118
62.2,50.0229577619179
62.4,50.0230344633803
62.6,50.0231112787993
62.8,50.0231875909489
63,50.0232626626392
63.2,50.0233377651733
63.4,50.0234128985512
63.6,50.0234880627729
63.8,50.0235632578383
64,50.0236384837476
64.2,50.0237137405006
64.4,50.0237890280974
64.6,50.023864346538
64.8,50.0239396958224
65,50.0240150759505
65.2,50.0240904869225
65.4,50.0241659287382
65.6,50.0242414013978
65.8,50.024316904901
66,50.0243924392482
66.2,50.024468004439
66.4,50.0245436004736
66.6,50.0246192273521
66.8,50.0246948850743
67,50.0247705736403
67.2,50.0248462930501
67.4,50.0249220433037
67.6,50.024997824401
67.8,50.0250736363422
68,50.0251494791271
68.2,50.0252253527558
68.4,50.0253012844247
68.6,50.0253774438362
68.8,50.0254535064158
69,50.0255294721635
69.2,50.0256053410793
69.4,50.0256811131632
69.6,50.0257567884152
69.8,50.0258323668354
70,50.0259078484237
70.2,50.0259832331801
70.4,50.0260585211046
70.6,50.0261330979658
70.8,50.026207044509
71,50.0262809503279
71.2,50.0263548154226
71.4,50.0264286397931
71.6,50.0265024234392
71.8,50.0265761663612
72,50.0266498685589
72.2,50.0267235300323
72.4,50.0267971507815
72.6,50.0268707308064
72.8,50.0269442701071
73,50.0270177686835
73.2,50.0270912265357
73.4,50.0271646436636
73.6,50.0272380200674
73.8,50.0273113557467
74,50.0273846507019
74.2,50.0274579049328
74.4,50.0275311184395
74.6,50.0276042912219
74.8,50.0276774232801
75,50.027750514614
75.2,50.0278235652237
75.4,50.0278965751091
75.6,50.0279695442702
75.8,50.0280424727071
76,50.0281153604198
76.2,50.0281882074082
76.4,50.0282610136723
76.6,50.0283337792122
76.8,50.0284065040279
77,50.0284791881192
77.2,50.0285518314864
77.4,50.0286244341292
77.6,50.0286969960479
77.8,50.0287695172423
78,50.0288419977124
78.2,50.0289144374583
78.4,50.0289868364799
78.6,50.0290591947773
78.8,50.0291315123504
79,50.0292037891993
79.2,50.0292760253239
79.4,50.0293482207243
79.6,50.0294203754004
79.8,50.0294924893523
80,50.0295645625799
80.2,50.0296365950832
80.4,50.0297085868624
80.6,50.0297805379172
80.8,50.0298524482478
81,50.0299243178542
81.2,50.0299960851073
81.4,50.0300675300792
81.6,50.0301389605793
81.8,50.0302103766075
82,50.030281778164
82.2,50.0303531652485
82.4,50.0304245378612
82.6,50.0304958960021
82.8,50.0305672396711
83,50.0306385688683
83.2,50.0307098835937
